"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4","test_select_geography[core]","tests.integration.dbapi.sync.V2","2026-04-02","passed","2026-04-02","","test_queries","",""
"","28","test_select_quoted_bigint[core]","tests.integration.dbapi.async.V2","2026-04-02","passed","2026-04-02","","test_queries_async","",""
"Test that connection.aclose() does not rollback when autocommit=True.","113","test_connection_close_no_rollback_with_autocommit_on[core]","tests.integration.dbapi.async.V2","2026-04-02","passed","2026-04-02","","test_queries_async","",""
"Auth raises authentication error on credentials invalidation","0","test_credentials_invalidation[core]","tests.integration.dbapi.async.V2","2026-04-02","skipped","2026-04-02","","test_auth_async","",""
"","29","test_select_quoted_decimal[core]","tests.integration.dbapi.async.V2","2026-04-02","passed","2026-04-02","","test_queries_async","",""
"Select handles all data types properly.","56","test_select[core]","tests.integration.dbapi.async.V2","2026-04-02","passed","2026-04-02","","test_queries_async","",""
"Select handles all data types properly.","29","test_streaming_select[core]","tests.integration.dbapi.sync.V2","2026-04-02","passed","2026-04-02","","test_streaming","",""
"","8","test_select_quoted_bigint[core]","tests.integration.dbapi.sync.V2","2026-04-02","passed","2026-04-02","","test_queries","",""
"Test transaction SQL statements with ROLLBACK.","79","test_transaction_rollback[core]","tests.integration.dbapi.sync.V2","2026-04-02","passed","2026-04-02","","test_queries","",""
"Select handles all data types properly.","45","test_select[core]","tests.integration.dbapi.sync.V2","2026-04-02","passed","2026-04-02","","test_queries","",""
"","99","test_select_struct[core]","tests.integration.dbapi.async.V2","2026-04-02","passed","2026-04-02","","test_queries_async","",""
"Test transaction SQL statements with ROLLBACK.","118","test_transaction_rollback[core]","tests.integration.dbapi.async.V2","2026-04-02","passed","2026-04-02","","test_queries_async","",""
"AWS ALB TCP timeout set to 350; make sure we handle the keepalive correctly.","0","test_long_query[core]","tests.integration.dbapi.async.V2","2026-04-02","skipped","2026-04-02","","test_queries_async","",""
"","29","test_select_inf[core]","tests.integration.dbapi.async.V2","2026-04-02","passed","2026-04-02","","test_queries_async","",""
"Connection properly reacts to sql execution error.","4","test_sql_error[core]","tests.integration.dbapi.sync.V2","2026-04-02","passed","2026-04-02","","test_errors","",""
"Query parameters are handled properly.","6","test_parameterized_query_with_special_chars[core]","tests.integration.dbapi.sync.V2","2026-04-02","passed","2026-04-02","","test_queries","",""
"","0","test_streaming_limited_memory[core]","tests.integration.dbapi.sync.V2","2026-04-02","skipped","2026-04-02","","test_streaming","",""
"Insert and delete queries are handled properly.","75","test_insert[core]","tests.integration.dbapi.async.V2","2026-04-02","passed","2026-04-02","","test_queries_async","",""
"Auth refreshes token on expiration/invalidation","0","test_refresh_token[core]","tests.integration.dbapi.sync.V2","2026-04-02","skipped","2026-04-02","","test_auth","",""
"Test that cursors share the same transaction state - no isolation between cursors.","108","test_transaction_cursor_isolation[core]","tests.integration.dbapi.async.V2","2026-04-02","passed","2026-04-02","","test_queries_async","",""
"executemany with bulk_insert=True works correctly for both paramstyles.","10078","test_executemany_bulk_insert_paramstyles[core-qmark-INSERT INTO ""{table}"" VALUES (?, ?)-test_data1]","tests.integration.dbapi.async.V2","2026-04-02","passed","2026-04-02","","test_queries_async","",""
"Test transaction SQL statements with COMMIT.","113","test_transaction_commit[core]","tests.integration.dbapi.async.V2","2026-04-02","passed","2026-04-02","","test_queries_async","",""
"","1003","test_query_timeout[core]","tests.integration.dbapi.sync.V2","2026-04-02","passed","2026-04-02","","test_timeout","",""
"","3","test_set_invalid_parameter[core]","tests.integration.dbapi.sync.V2","2026-04-02","passed","2026-04-02","","test_queries","",""
"executemany with bulk_insert=True works correctly for both paramstyles.","55","test_executemany_bulk_insert_paramstyles[core-fb_numeric-INSERT INTO ""{table}"" VALUES ($1, $2)-test_data0]","tests.integration.dbapi.async.V2","2026-04-02","passed","2026-04-02","","test_queries_async","",""
"","31","test_select_nan[core]","tests.integration.dbapi.async.V2","2026-04-02","passed","2026-04-02","","test_queries_async","",""
"","6","test_select_nan[core]","tests.integration.dbapi.sync.V2","2026-04-02","passed","2026-04-02","","test_queries","",""
"
    Async integration test for database context preservation with caching on Firebolt.

    This test verifies against a live Firebolt instance:
    1. Connect with database1 + engine1 (cache entry created)
    2. Connect with database2 + engine1 (should add database2 to cache)
    3. Cursors from second connection should have database2, not database1
    ","122","test_database_switching_with_same_engine_preserves_database_context[core]","tests.integration.dbapi.async.V2","2026-04-02","passed","2026-04-02","","test_queries_async","",""
"Select handles all data types properly.","56","test_streaming_select[core]","tests.integration.dbapi.async.V2","2026-04-02","passed","2026-04-02","","test_streaming","",""
"Test that context manager does not auto-commit when autocommit=True.","115","test_context_manager_works_with_autocommit_on[core]","tests.integration.dbapi.async.V2","2026-04-02","passed","2026-04-02","","test_queries_async","",""
"Test that context manager does not commit transaction on exception exit.","116","test_context_manager_no_auto_commit_on_exception_exit[core]","tests.integration.dbapi.async.V2","2026-04-02","passed","2026-04-02","","test_queries_async","",""
"","0","test_streaming_limited_memory[core]","tests.integration.dbapi.async.V2","2026-04-02","skipped","2026-04-02","","test_streaming","",""
"Test that connection.aclose() rolls back uncommitted transactions when autocommit=False.","120","test_connection_close_rollback_with_autocommit_off[core]","tests.integration.dbapi.async.V2","2026-04-02","passed","2026-04-02","","test_queries_async","",""
"","1029","test_query_timeout[core]","tests.integration.dbapi.async.V2","2026-04-02","passed","2026-04-02","","test_timeout","",""
"executemany with bulk_insert=True works correctly for both paramstyles.","27","test_executemany_bulk_insert_paramstyles[core-fb_numeric-INSERT INTO ""{table}"" VALUES ($1, $2)-test_data0]","tests.integration.dbapi.sync.V2","2026-04-02","passed","2026-04-02","","test_queries","",""
"Test that statements are visible immediately with autocommit enabled (uses existing connection fixture).","37","test_autocommit_immediate_visibility[core-implicit]","tests.integration.dbapi.sync.V2","2026-04-02","passed","2026-04-02","","test_queries","",""
"Auth refreshes token on expiration/invalidation","0","test_refresh_token[core]","tests.integration.dbapi.async.V2","2026-04-02","skipped","2026-04-02","","test_auth_async","",""
"Test that context manager does not auto-commit when autocommit=True.","73","test_context_manager_works_with_autocommit_on[core]","tests.integration.dbapi.sync.V2","2026-04-02","passed","2026-04-02","","test_queries","",""
"AWS ALB TCP timeout set to 350; make sure we handle the keepalive correctly.","0","test_long_query[core]","tests.integration.dbapi.sync.V2","2026-04-02","skipped","2026-04-02","","test_queries","",""
"Test that connection.close() does not rollback when autocommit=True.","81","test_connection_close_no_rollback_with_autocommit_on[core]","tests.integration.dbapi.sync.V2","2026-04-02","passed","2026-04-02","","test_queries","",""
"Inserted and than selected bytea value doesn't get corrupted.","55","test_bytea_roundtrip[core]","tests.integration.dbapi.async.V2","2026-04-02","passed","2026-04-02","","test_queries_async","",""
"Test that context manager commits transaction on normal exit when autocommit=False.","123","test_context_manager_auto_commit_on_normal_exit[core]","tests.integration.dbapi.async.V2","2026-04-02","passed","2026-04-02","","test_queries_async","",""
"Test that context manager does not commit transaction on exception exit.","76","test_context_manager_no_auto_commit_on_exception_exit[core]","tests.integration.dbapi.sync.V2","2026-04-02","passed","2026-04-02","","test_queries","",""
"Test that connection.close() rolls back uncommitted transactions when autocommit=False.","76","test_connection_close_rollback_with_autocommit_off[core]","tests.integration.dbapi.sync.V2","2026-04-02","passed","2026-04-02","","test_queries","",""
"Select handles errors properly.","31","test_streaming_error[core]","tests.integration.dbapi.async.V2","2026-04-02","passed","2026-04-02","","test_streaming","",""
